0.604,0.103,3.409,0.523,4.336
0.416,0.041,3.513,0.525,4.327
0.234,-0.041,3.618,0.535,4.325
0.063,-0.142,3.723,0.521,4.323
-0.098,-0.260,3.826,0.511,4.333
-0.245,-0.393,3.924,0.470,4.350
-0.380,-0.539,4.013,0.421,4.398
-0.502,-0.697,4.093,0.380,4.479
-0.611,-0.863,4.164,0.342,4.582
-0.709,-1.036,4.229,0.312,4.701
-0.796,-1.214,4.289,0.293,4.829
-0.873,-1.399,4.345,0.275,4.956
-0.939,-1.585,4.399,0.268,5.082
-0.995,-1.777,4.452,0.260,5.200
-1.041,-1.970,4.503,0.255,5.309
-1.078,-2.166,4.554,0.251,5.412
-1.105,-2.363,4.603,0.243,5.506
-1.122,-2.561,4.650,0.234,5.598
-1.129,-2.760,4.696,0.223,5.689
-1.128,-2.959,4.739,0.204,5.783
-1.119,-3.159,4.778,0.187,5.889
-1.103,-3.356,4.811,0.153,6.003
-1.080,-3.554,4.838,0.118,6.148
-1.053,-3.751,4.858,0.078,6.314
-1.023,-3.948,4.870,0.036,6.476
-0.991,-4.145,4.873,0.001,6.635
-0.960,-4.341,4.872,-0.005,6.789
-0.928,-4.538,4.871,-0.012,6.939
-0.897,-4.734,4.868,-0.012,7.087
-0.866,-4.931,4.866,-0.012,7.231
-0.836,-5.128,4.863,-0.013,7.372
-0.807,-5.325,4.860,-0.016,7.511
-0.778,-5.522,4.857,-0.019,7.647
-0.749,-5.719,4.852,-0.026,7.780
-0.722,-5.916,4.847,-0.032,7.697
-0.696,-6.114,4.839,-0.041,7.492
-0.672,-6.311,4.830,-0.052,7.294
-0.649,-6.509,4.819,-0.063,7.102
-0.629,-6.708,4.805,-0.079,6.923
-0.613,-6.905,4.787,-0.096,6.757
-0.600,-7.105,4.767,-0.104,6.591
-0.591,-7.303,4.746,-0.110,6.421
-0.587,-7.502,4.725,-0.083,6.248
-0.585,-7.701,4.714,-0.026,6.029
-0.585,-7.900,4.715,0.034,5.726
-0.583,-8.099,4.728,0.096,5.470
-0.578,-8.297,4.753,0.157,5.257
-0.566,-8.497,4.789,0.204,5.072
-0.547,-8.694,4.835,0.254,4.916
-0.517,-8.892,4.889,0.291,4.776
-0.476,-9.085,4.951,0.330,4.654
-0.423,-9.278,5.020,0.364,4.545
-0.356,-9.464,5.096,0.400,4.450
-0.273,-9.646,5.179,0.437,4.375
-0.177,-9.819,5.270,0.479,4.325
-0.063,-9.983,5.368,0.508,4.295
0.066,-10.134,5.473,0.543,4.293
0.211,-10.271,5.577,0.505,4.291
0.368,-10.392,5.674,0.473,4.321
0.537,-10.499,5.765,0.432,4.373
0.713,-10.590,5.847,0.396,4.449
0.897,-10.667,5.923,0.364,4.543
1.086,-10.730,5.992,0.336,4.649
1.278,-10.781,6.056,0.311,4.763
1.473,-10.820,6.116,0.293,4.882
1.670,-10.848,6.173,0.276,5.001
1.868,-10.864,6.227,0.270,5.120
2.067,-10.870,6.280,0.264,5.231
2.265,-10.865,0.050,0.268,5.333
2.463,-10.850,0.103,0.272,5.419
2.661,-10.824,0.158,0.282,5.394
2.856,-10.788,0.215,0.293,5.329
3.049,-10.739,0.275,0.306,5.270
3.238,-10.680,0.337,0.319,5.218
3.425,-10.607,0.402,0.333,5.174
3.604,-10.524,0.469,0.348,5.141
3.779,-10.427,0.540,0.363,5.120
3.945,-10.319,0.613,0.373,5.107
4.104,-10.198,0.689,0.384,5.105
4.252,-10.067,0.764,0.363,5.103
4.392,-9.923,0.833,0.337,5.122
4.520,-9.772,0.898,0.312,5.165
4.640,-9.613,0.957,0.288,5.227
4.749,-9.447,1.013,0.270,5.306
4.850,-9.276,1.065,0.256,5.393
4.942,-9.099,1.115,0.244,5.484
5.026,-8.919,1.162,0.236,5.577
5.101,-8.733,1.209,0.228,5.670
5.167,-8.547,1.253,0.221,5.760
5.225,-8.355,1.297,0.216,5.849
5.275,-8.163,1.339,0.207,5.935
5.317,-7.968,1.379,0.200,6.022
5.351,-7.772,1.418,0.191,6.109
5.377,-7.575,1.455,0.179,6.200
5.397,-7.376,1.490,0.168,6.296
5.410,-7.178,1.521,0.147,6.398
5.417,-6.979,1.548,0.126,6.519
5.419,-6.780,1.571,0.097,6.656
5.417,-6.581,1.587,0.065,6.810
5.413,-6.382,1.597,0.037,6.960
5.407,-6.183,1.602,0.017,7.107
5.401,-5.984,1.603,-0.004,7.251
5.395,-5.785,1.602,-0.006,7.392
5.388,-5.586,1.601,-0.008,7.530
5.383,-5.388,1.599,-0.009,7.665
5.377,-5.189,1.597,-0.008,7.798
5.372,-4.990,1.596,-0.008,7.929
5.367,-4.791,1.594,-0.006,8.058
5.363,-4.592,1.593,-0.005,8.183
5.358,-4.393,1.593,-0.000,7.940
5.354,-4.194,1.593,0.005,7.690
5.350,-3.995,1.595,0.012,7.441
5.344,-3.795,1.598,0.022,7.198
5.339,-3.597,1.604,0.033,6.959
5.331,-3.398,1.611,0.044,6.723
5.322,-3.199,1.621,0.056,6.490
5.311,-3.000,1.634,0.068,6.259
5.297,-2.801,1.649,0.081,6.028
5.280,-2.603,1.666,0.097,5.798
5.259,-2.405,1.688,0.128,5.586
5.233,-2.208,1.717,0.160,5.390
5.200,-2.011,1.753,0.201,5.217
5.160,-1.816,1.797,0.246,5.074
5.110,-1.624,1.851,0.284,4.951
5.050,-1.434,1.910,0.315,4.843
4.978,-1.249,1.976,0.344,4.748
4.893,-1.068,2.046,0.362,4.654
4.796,-0.896,2.120,0.383,4.565
4.685,-0.729,2.199,0.400,4.477
4.562,-0.574,2.280,0.423,4.392
4.425,-0.428,2.367,0.452,4.317
4.277,-0.296,2.460,0.488,4.263
4.116,-0.178,2.561,0.520,4.228
3.945,-0.078,2.668,0.560,4.226
3.762,0.003,2.779,0.533,4.224
3.574,0.063,2.880,0.490,4.246
3.378,0.106,2.973,0.429,4.298
3.183,0.131,3.050,0.357,4.391
2.982,0.143,3.113,0.267,4.528
2.785,0.144,3.155,0.157,4.721
2.585,0.139,3.173,0.017,4.938
2.388,0.134,3.163,-0.118,5.145
2.189,0.133,3.128,-0.228,5.344
1.992,0.140,3.087,-0.153,5.470
1.791,0.153,3.067,-0.040,5.368
1.596,0.167,3.074,0.098,5.082
1.394,0.178,3.105,0.212,4.882
1.197,0.181,3.157,0.306,4.753
0.996,0.171,3.227,0.394,4.695
0.800,0.146,3.311,0.454,4.693
