3.490,3.868,2.839,0.575,3.721
3.296,3.917,2.947,0.500,3.827
3.101,3.946,3.039,0.430,3.962
2.901,3.958,3.118,0.355,4.120
2.703,3.957,3.180,0.273,4.305
2.504,3.944,3.227,0.195,4.526
2.307,3.924,3.257,0.113,4.751
2.110,3.899,3.275,0.078,4.966
1.913,3.871,3.289,0.064,5.171
1.717,3.841,3.301,0.059,5.369
1.521,3.808,3.312,0.059,5.560
1.325,3.774,3.324,0.060,5.744
1.130,3.736,3.336,0.060,5.922
0.935,3.697,3.348,0.060,6.095
0.740,3.655,3.360,0.060,6.263
0.547,3.611,3.372,0.061,6.426
0.353,3.564,3.384,0.061,6.585
0.161,3.515,3.396,0.062,6.740
-0.032,3.464,3.409,0.063,6.805
-0.223,3.410,3.422,0.068,6.592
-0.414,3.354,3.436,0.075,6.376
-0.603,3.295,3.452,0.089,6.164
-0.792,3.232,3.472,0.110,5.962
-0.979,3.166,3.495,0.130,5.767
-1.165,3.094,3.523,0.149,5.576
-1.348,3.017,3.555,0.170,5.391
-1.529,2.934,3.591,0.195,5.213
-1.706,2.844,3.632,0.213,5.031
-1.880,2.747,3.675,0.222,4.844
-2.048,2.642,3.721,0.247,4.646
-2.212,2.529,3.775,0.291,4.461
-2.368,2.407,3.837,0.335,4.283
-2.516,2.274,3.907,0.374,4.106
-2.654,2.131,3.985,0.414,3.925
-2.779,1.978,4.073,0.472,3.749
-2.891,1.812,4.173,0.535,3.576
-2.982,1.637,4.288,0.628,3.425
-3.053,1.449,4.423,0.717,3.291
-3.095,1.255,4.575,0.822,3.189
-3.105,1.057,4.754,0.984,3.188
-3.078,0.860,4.945,0.876,3.187
-3.016,0.671,5.103,0.722,3.253
-2.928,0.492,5.236,0.603,3.393
-2.819,0.326,5.343,0.468,3.566
-2.695,0.170,5.422,0.346,3.784
-2.561,0.024,5.481,0.235,4.039
-2.421,-0.116,5.516,0.162,4.290
-2.276,-0.251,5.551,0.185,4.527
-2.126,-0.381,5.590,0.213,4.574
-1.970,-0.504,5.637,0.267,4.352
-1.808,-0.620,5.696,0.331,4.149
-1.638,-0.724,5.771,0.427,3.991
-1.460,-0.813,5.866,0.518,3.877
-1.274,-0.884,5.977,0.604,3.812
-1.082,-0.931,6.107,0.689,3.811
-0.884,-0.953,6.233,0.573,3.809
-0.685,-0.953,0.053,0.473,3.894
-0.487,-0.934,0.137,0.362,4.034
-0.292,-0.900,0.197,0.245,4.230
-0.097,-0.857,0.238,0.167,4.471
0.095,-0.808,0.263,0.088,4.699
0.287,-0.755,0.274,0.024,4.916
0.478,-0.701,0.273,-0.040,5.124
0.670,-0.648,0.264,-0.041,5.323
0.862,-0.597,0.256,-0.039,5.515
1.054,-0.547,0.251,-0.010,5.701
1.247,-0.498,0.252,0.022,5.880
1.439,-0.447,0.260,0.056,6.054
1.631,-0.395,0.275,0.090,6.223
1.822,-0.339,0.297,0.139,6.087
2.011,-0.278,0.330,0.189,5.977
2.198,-0.210,0.369,0.208,5.880
2.382,-0.134,0.412,0.224,5.794
2.562,-0.050,0.458,0.232,5.706
2.738,0.042,0.505,0.239,5.618
2.910,0.142,0.553,0.245,5.528
3.076,0.250,0.602,0.253,5.435
3.237,0.367,0.654,0.263,5.340
3.392,0.492,0.707,0.273,5.244
3.540,0.625,0.761,0.271,5.148
3.680,0.766,0.815,0.267,5.038
3.812,0.915,0.868,0.277,4.907
3.936,1.070,0.925,0.289,4.768
4.051,1.232,0.984,0.312,4.624
4.156,1.401,1.049,0.336,4.481
4.249,1.576,1.119,0.369,4.341
4.329,1.758,1.196,0.406,4.210
4.394,1.946,1.280,0.441,4.080
4.443,2.139,1.370,0.468,3.946
4.473,2.334,1.468,0.524,3.825
4.483,2.533,1.578,0.583,3.722
4.469,2.731,1.699,0.636,3.633
4.431,2.926,1.831,0.698,3.571
4.366,3.114,1.975,0.744,3.528
4.274,3.290,2.129,0.804,3.526
4.155,3.450,2.294,0.805,3.525
4.013,3.589,2.446,0.731,3.523
3.851,3.705,2.588,0.696,3.573
3.675,3.798,2.720,0.632,3.633
