-2.280,4.313,3.260,0.443,4.332
-2.480,4.280,3.353,0.480,4.273
-2.672,4.229,3.453,0.524,4.245
-2.858,4.158,3.561,0.550,4.237
-3.036,4.066,3.672,0.550,4.229
-3.201,3.957,3.781,0.560,4.227
-3.356,3.827,3.892,0.538,4.225
-3.494,3.685,3.998,0.530,4.242
-3.618,3.525,4.105,0.522,4.262
-3.723,3.355,4.208,0.519,4.284
-3.810,3.176,4.313,0.528,4.304
-3.878,2.987,4.419,0.527,4.312
-3.926,2.793,4.524,0.498,4.319
-3.954,2.600,4.608,0.337,4.350
-3.969,2.400,4.662,0.191,4.511
-3.976,2.205,4.687,0.177,4.442
-3.977,2.005,4.737,0.322,4.248
-3.964,1.808,4.821,0.507,4.194
-3.933,1.613,4.928,0.554,4.176
-3.878,1.417,5.043,0.574,4.174
-3.804,1.235,5.154,0.551,4.173
-3.707,1.056,5.265,0.543,4.190
-3.595,0.894,5.368,0.499,4.210
-3.464,0.740,5.465,0.469,4.262
-3.322,0.602,5.553,0.418,4.329
-3.168,0.474,5.632,0.370,4.426
-3.005,0.359,5.703,0.340,4.547
-2.834,0.255,5.769,0.322,4.674
-2.656,0.162,5.832,0.308,4.797
-2.475,0.081,5.892,0.295,4.914
-2.287,0.010,5.950,0.285,5.027
-2.097,-0.050,6.005,0.270,5.135
-1.904,-0.100,6.058,0.255,5.244
-1.708,-0.140,6.107,0.240,5.354
-1.511,-0.170,6.153,0.221,5.467
-1.312,-0.192,6.196,0.205,5.587
-1.113,-0.205,6.235,0.190,5.712
-0.913,-0.211,6.272,0.177,5.840
-0.713,-0.210,0.023,0.173,5.972
-0.514,-0.201,0.059,0.183,6.095
-0.315,-0.186,0.096,0.194,6.196
-0.116,-0.163,0.137,0.209,6.151
0.081,-0.131,0.180,0.226,6.096
0.277,-0.091,0.227,0.232,6.043
0.470,-0.042,0.273,0.228,5.991
0.661,0.016,0.317,0.214,5.930
0.851,0.083,0.352,0.129,5.852
1.036,0.153,0.369,0.038,5.661
1.223,0.225,0.366,-0.062,5.361
1.410,0.295,0.343,-0.170,5.151
1.598,0.358,0.303,-0.214,4.963
1.789,0.413,0.260,-0.210,4.769
1.983,0.461,0.223,-0.111,4.552
2.178,0.504,0.222,0.093,4.200
2.373,0.551,0.260,0.282,3.920
2.566,0.609,0.332,0.430,3.703
2.749,0.683,0.434,0.603,3.576
2.927,0.779,0.564,0.692,3.484
3.085,0.896,0.711,0.801,3.457
3.226,1.039,0.874,0.821,3.439
3.340,1.200,1.039,0.847,3.437
3.427,1.382,1.205,0.803,3.435
3.484,1.572,1.362,0.773,3.464
3.510,1.771,1.509,0.692,3.504
3.510,1.970,1.641,0.644,3.587
3.483,2.168,1.767,0.617,3.680
3.432,2.361,1.887,0.589,3.767
3.360,2.545,1.999,0.538,3.851
3.268,2.722,2.105,0.516,3.953
3.158,2.887,2.204,0.491,4.048
3.032,3.043,2.301,0.480,4.141
2.894,3.184,2.394,0.456,4.224
2.740,3.314,2.482,0.422,4.310
2.580,3.428,2.560,0.360,4.407
2.408,3.533,2.627,0.314,4.539
2.233,3.625,2.686,0.290,4.690
2.050,3.708,2.742,0.265,4.840
1.865,3.781,2.792,0.238,4.992
1.675,3.845,2.838,0.217,5.150
1.485,3.901,2.879,0.201,5.309
1.288,3.949,2.919,0.188,5.467
1.095,3.990,2.953,0.165,5.623
0.897,4.024,2.984,0.146,5.788
0.700,4.052,3.011,0.118,5.959
0.502,4.076,3.031,0.087,6.131
0.302,4.097,3.046,0.056,6.299
0.104,4.115,3.053,0.017,6.462
-0.096,4.133,3.053,-0.019,6.621
-0.294,4.151,3.046,-0.047,6.776
-0.492,4.171,3.035,-0.070,6.639
-0.692,4.194,3.018,-0.086,6.440
-0.889,4.220,3.006,-0.040,6.238
-1.087,4.247,3.002,0.004,5.959
-1.286,4.275,3.008,0.060,5.680
-1.484,4.300,3.028,0.139,5.469
-1.683,4.319,3.064,0.221,5.329
-1.883,4.330,3.116,0.292,5.253
-2.083,4.329,3.181,0.363,5.251
