# x_m,y_m
-3.1823610627345147,2.549349364878161
-3.6967466614251308,2.9992749635687836
-4.230012157000459,3.4036204591441113
-4.744397755691082,3.8535460578347447
-5.258783354381698,4.30347165652535
-5.792048849957027,4.707817152100695
-6.30643444864765,5.1577427507913
-6.8396999442229856,5.562088246366628
-7.354085542913602,6.012013845057247
-7.868471141604218,6.46193944374787
-8.401736637179553,6.866284939323197
-8.916122235870176,7.316210538013831
-9.449387731445512,7.720556033589158
-9.963773330136114,8.170481632279763
-10.49703882571145,8.574827127855094
-11.011424424402065,9.0247527265457
-11.525810023092674,9.474678325236333
-12.05907551866801,9.87902382081166
-12.573461117358619,10.328949419502283
-13.106726612933954,10.733294915077597
-13.621112211624563,11.183220513768202
-14.154377707199892,11.587566009343544
-14.6687633058905,12.037491608034163
-15.183148904581117,12.487417206724768
-15.716414400156445,12.891762702300095
-16.23079999884707,13.341688300990715
-16.764065494422397,13.74603379656605
-17.278451093113006,14.195959395256669
-17.81044724197688,14.603369364878166
-18.32610218737895,15.050230489522601
-18.840487786069573,15.50015608821322
-19.373753281644888,15.904501583788548
-19.888138880335518,16.354427182479167
-20.421404375910846,16.758772678054495
-20.935789974601455,17.2086982767451
-21.460793735229807,17.63298936487816
-21.9834410688674,18.062969371011054
-22.497826667558016,18.51289496970166
-23.031092163133344,18.917240465276986
-23.545477761823953,19.367166063967606
-24.07874325739929,19.771511559542933
-24.593128856089905,20.221437158233552
-25.126394351665233,20.62578265380888
-25.640779950355842,21.075708252499485
-26.165539314939537,21.500589364878163
-26.688431044621787,21.929979346765432
-27.202816643312396,22.379904945456058
-27.73608213888773,22.784250441031386
-28.250467737578347,23.234176039722005
-28.78373323315368,23.638521535297333
-29.29811883184429,24.088447133987938
-29.831384327419617,24.492792629563265
-30.345769926110233,24.942718228253884
-30.87028489464926,25.368189364878166
-31.393421020376177,25.796989322519817
-31.907806619066793,26.246914921210436
-32.441072114642125,26.651260416785785
-32.955457713332734,27.101186015476376
-33.48872320890807,27.505531511051718
-34.00310880759868,27.955457109742323
-34.520631387902185,28.39780936487816
-35.05075990186462,28.80972820400827
-35.56514550055524,29.25965380269889
-36.0888799144721,29.68700936487816
-36.61279659482118,30.11392489696482
-37.12718219351179,30.56385049565544
-37.66044768908712,30.968195991230775
-38.17483328777773,31.418121589921395
-38.68921888646835,31.868047188612014
-39.222484382043675,32.272392684187324
-39.7368699807343,32.722318282877936
-40.27013547630962,33.12666377845328
-40.78452107500024,33.576589377143875
-41.317786570575564,33.9809348727192
-41.83217216926618,34.43086047140983
-42.346557767956796,34.880786070100456
-42.84206346976269,35.37629177190635
-43.291989068453304,35.89067737059696
-43.650754460913355,36.44282276305701
-43.792161062734515,37.085001114500685
-43.84633801390372,37.754792413708955
-43.66989303390481,38.38245739370787
-43.26101872423637,38.90478936487817
-42.6756423521,39.18332807551268
-42.046418400396156,39.35600936487816
-41.39906792913019,39.48492936487817
-40.72501725163366,39.54938936487817
-40.05096657413712,39.61384936487816
-39.35021569041002,39.61384936487816
-38.6494648066829,39.61384936487816
-37.975414129186376,39.54938936487817
-37.30136345168984,39.48492936487817
-36.60061256796273,39.48492936487817
-35.926561890466196,39.42046936487816
-35.27921141920024,39.291549364878165
-34.6051607417037,39.22708936487817
-33.957810270437726,39.09816936487816
-33.303055828689125,38.98712413083278
-32.6565109518055,38.85625925394915
-32.01575885663984,38.711409364878165
-31.38230109492297,38.54894939706662
-30.74775812033847,38.389109364878166
-30.127107855303084,38.19572936487816
-29.506457590267683,38.00234936487817
-28.890521071812064,37.7975893739557
-28.30061588558258,37.52998418772623
-27.710710699353108,37.262379001496754
-27.130657355048392,36.970989364878164
-26.563407502474128,36.648689364878166
-25.996157649899885,36.32638936487817
-25.445489438858772,35.96405774100242
-24.893344046398738,35.60529234854239
-24.360078550823403,35.20094685296705
-23.82681305524808,34.79660135739174
-23.293547559672746,34.392255861816395
-22.76028206409741,33.98791036624107
-22.24589646540681,33.537984767550455
-21.72516089161155,33.10338936487817
-21.198245371140857,32.683713673284515
-20.68385977245024,32.23378807459389
-20.156912365041656,31.814189364878164
-19.636208678184303,31.379516980327953
-19.12182307949368,30.929591381637334
-18.588663838471746,30.524989364878163
-18.074171985227736,30.075320287371387
-17.559786386537127,29.625394688680796
-17.026520890961798,29.221049193105454
-16.512135292271196,28.77112359441485
-15.978869796695854,28.36677809883952
-15.464484198005238,27.91685250014888
-14.938317345218813,27.49536936487816
-14.4168331037393,27.062581405882934
-13.902447505048684,26.612655807192343
-13.369182009473349,26.208310311617
-12.854796410782747,25.758384712926397
-12.321530915207418,25.35403921735107
-11.807145316516795,24.90411361866045
-11.292759717826186,24.45418801996983
-10.77412141185276,24.01452936487816
-10.245108623560242,23.599916925703905
-9.730723024869619,23.14999132701327
-9.197457529294297,22.745645831437958
-8.664192033718969,22.341300335862616
-8.112046641258914,21.982534943402566
-7.541021351914161,21.669349654057807
-6.9101732687552655,21.500589364878163
-6.2361225912587415,21.436129364878166
-5.562071913762196,21.500589364878163
-4.898202153725528,21.589628273887133
-4.294071177460843,21.82288936487816
-3.7183917812665683,22.12483864634611
-3.1662463888065275,22.483604038806146
-2.697440893231189,22.952409534381484
-2.3842556038864373,23.52343482372623
-2.1510010627345153,24.127568513023103
-1.9576210627345105,24.74821877805849
-1.8287010627345097,25.395569249324463
-1.7642410627345129,26.069619926821
-1.8287010627345097,26.743670604317533
-1.8931610627345137,27.41772128181407
-2.0865410627345113,28.038371546849458
-2.344381062734513,28.632321605654287
-2.6410711353421803,29.210179437485824
