#s_m,x_m,y_m, psi_rad, kappa_radpm,vx_mps, ax_mps2,heading,ld_m
74.3947896,-28.3912317,37.4779003,5.7641664,-0.034148,7.5555674,0.8935297,-0.5224156437906288,0.6
74.5947756,-28.2179166,37.37811,5.7573901,-0.0336184,7.5791811,0.8913032,-0.5291390289276648,0.6
74.7947616,-28.0452813,37.2771596,5.7507198,-0.0330901,7.6026628,0.8895029,-0.5357569954607068,0.6
74.9947476,-27.873319,37.1750696,5.744155,-0.0325627,7.6260251,0.8881214,-0.5422689522398083,0.6
75.1947336,-27.7020199,37.0718588,5.7376955,-0.0320356,7.6492798,0.8871863,-0.5486752504601694,0.6
75.3947196,-27.5313938,36.9675578,5.7313416,-0.0315098,7.6724398,0.8866183,-0.5549767056498928,0.6
75.5947056,-27.361419,36.8621779,5.7250926,-0.0309836,7.6955152,0.8864982,-0.5611732944967813,0.6
75.7946916,-27.1921056,36.75575,5.7189489,-0.0304582,7.7185186,0.8867464,-0.5672648338522125,0.6
75.9946776,-27.0234449,36.6482935,5.7129102,-0.0299333,7.74146,0.8873592,-0.5732505976649506,0.6
76.1946636,-26.8554249,36.5398258,5.7069763,-0.0294082,7.7643494,0.8883743,-0.579131929557746,0.6
76.3946496,-26.6880543,36.4303774,5.7011477,-0.0288839,7.7871976,0.8897049,-0.5849087579165926,0.6
76.5946356,-26.5213093,36.3199577,5.6954236,-0.0283595,7.810013,0.8914117,-0.5905798001896198,0.6
76.7946216,-26.3551983,36.2085976,5.6898046,-0.0278355,7.8328055,0.8934374,-0.5961462375113878,0.6
76.9946075,-26.1897111,36.0963155,5.6842903,-0.0273119,7.8555835,0.8957758,-0.6016086882920194,0.6
77.1945935,-26.024834,35.9831272,5.6788805,-0.0267882,7.878355,0.8984547,-0.6069658727140003,0.6
77.3945795,-25.8605742,35.8690632,5.6735757,-0.0262651,7.9011287,0.9014131,-0.6122185911418146,0.6
77.5945655,-25.6969066,35.7541315,5.6683753,-0.0257419,7.9239116,0.904695,-0.6173666729639016,0.6
77.7945515,-25.5338377,35.6383622,5.6632796,-0.0252189,7.9467117,0.9082612,-0.6224099586690165,0.6
77.9945375,-25.3713563,35.5217731,5.6582884,-0.0246964,7.9695361,0.9121005,-0.627348907574807,0.6
78.1945235,-25.209447,35.4043788,5.6534017,-0.0241738,7.9923914,0.3042188,-0.6321833268077608,0.6
78.3945095,-25.0481154,35.2862092,5.6486196,-0.0236516,8.0,0.0,-0.6369132594123634,0.6
78.5944955,-24.8873357,35.1672713,5.6439417,-0.0231295,8.0,0.0,-0.6415388598259719,0.6
78.7944815,-24.7271126,35.0475945,5.6393683,-0.0226075,8.0,0.0,-0.646060325858359,0.6
78.9944675,-24.5674336,34.9271955,5.6348994,-0.0220857,8.0,0.0,-0.6504766139422457,0.6
79.1944535,-24.4082825,34.8060884,5.6305346,-0.0215638,8.0,0.0,-0.6547894750134586,0.6
79.3944395,-24.2496631,34.6843021,5.6262745,-0.021042,8.0,0.0,-0.6589975532503163,0.6
79.5944255,-24.0915492,34.5618429,5.6221185,-0.02052,8.0,0.0,-0.6631014284744302,0.6
79.7944115,-23.9339436,34.4387393,5.618067,-0.0199981,8.0,0.0,-0.6671006759898901,0.6
79.9943975,-23.776833,34.3150075,5.6141199,-0.0194762,8.0,0.0,-0.6709950713537178,0.6
80.1943834,-23.6202003,34.1906607,5.610277,-0.0189541,8.0,0.0,-0.6747864713279476,0.6
80.3943694,-23.4640475,34.0657268,5.6065388,-0.018432,8.0,0.0,-0.6784720464491437,0.6
80.5943554,-23.3083486,33.9402121,5.6029048,-0.0179098,8.0,0.0,-0.6820539178125046,0.6
80.7943414,-23.1531042,33.8141437,5.5993753,-0.0173875,8.0,0.0,-0.6855311503843076,0.6
80.9943274,-22.9983004,33.6875373,5.5959503,-0.0168652,8.0,0.0,-0.6889039991002053,0.6
81.1943134,-22.8439199,33.5604057,5.5926297,-0.0163427,8.0,0.0,-0.6921725541832318,0.6
81.3942994,-22.6899623,33.4327756,5.5894137,-0.0158201,8.0,0.0,-0.6953360467362607,0.6
81.5942854,-22.5364024,33.3046534,5.5863021,-0.0152974,8.0,0.0,-0.6983952235298171,0.6
81.7942714,-22.3832387,33.176065,5.5832951,-0.0147747,8.0,0.0,-0.7013496612199183,0.6
81.9942574,-22.2304567,33.0470256,5.5803927,-0.0142518,8.0,0.0,-0.7042004157039251,0.6
82.1942434,-22.0780392,32.9175478,5.5775948,-0.0137288,8.0,0.0,-0.706945718576072,0.6
82.3942294,-21.9259834,32.7876569,5.5749016,-0.0132058,8.0,0.0,-0.7095868911062062,0.6
82.5942154,-21.7742652,32.6573597,5.5723129,-0.0126826,8.0,0.0,-0.7121229140334817,0.6
82.7942014,-21.6228811,32.5266809,5.5698289,-0.0121594,8.0,0.0,-0.7145551063636378,0.6
82.9941874,-21.4718161,32.395635,5.5674495,-0.0116361,8.0,0.0,-0.7168817479021317,0.6
83.1941733,-21.3210531,32.2642351,5.5651747,-0.0111128,8.0,0.0,-0.7191040560909177,0.6
