# x, y, psi, w_tr_right, w_tr_left
-24.343,-6.569,0.245,1.100,1.100
-24.111,-6.512,0.245,1.100,1.100
-23.880,-6.454,0.246,1.100,1.100
-23.648,-6.396,0.242,1.083,1.083
-23.416,-6.338,0.255,1.083,1.083
-23.184,-6.280,0.209,1.083,1.083
-22.952,-6.222,0.380,1.083,1.083
-22.721,-6.106,0.380,1.083,1.083
-22.489,-6.048,0.209,1.083,1.083
-22.257,-5.990,0.255,1.083,1.083
-22.025,-5.932,0.242,1.100,1.100
-21.793,-5.874,0.246,1.100,1.100
-21.561,-5.816,0.245,1.100,1.100
-21.329,-5.758,0.245,1.100,1.100
-21.098,-5.700,0.245,1.100,1.100
-20.866,-5.642,0.245,1.100,1.100
-20.634,-5.584,0.246,1.100,1.100
-20.402,-5.526,0.242,1.083,1.083
-20.170,-5.468,0.255,1.083,1.083
-19.938,-5.410,0.209,1.083,1.083
-19.707,-5.352,0.379,1.069,1.069
-19.475,-5.236,0.380,1.083,1.083
-19.243,-5.178,0.209,1.083,1.083
-19.011,-5.120,0.255,1.083,1.083
-18.779,-5.063,0.242,1.100,1.100
-18.547,-5.005,0.246,1.100,1.100
-18.316,-4.947,0.245,1.100,1.100
-18.084,-4.889,0.245,1.100,1.100
-17.852,-4.831,0.245,1.100,1.100
-17.620,-4.773,0.246,1.100,1.100
-17.388,-4.715,0.243,1.083,1.083
-17.156,-4.657,0.254,1.083,1.083
-16.924,-4.599,0.209,1.083,1.083
-16.693,-4.541,0.380,1.069,1.069
-16.461,-4.425,0.380,1.083,1.083
-16.229,-4.367,0.209,1.083,1.083
-15.997,-4.309,0.255,1.083,1.083
-15.765,-4.251,0.242,1.100,1.100
-15.533,-4.193,0.246,1.100,1.100
-15.302,-4.135,0.245,1.100,1.100
-15.070,-4.077,0.245,1.100,1.100
-14.838,-4.019,0.245,1.100,1.100
-14.606,-3.961,0.246,1.100,1.100
-14.374,-3.903,0.242,1.083,1.083
-14.142,-3.845,0.255,1.083,1.083
-13.911,-3.787,0.209,1.083,1.083
-13.679,-3.729,0.379,1.069,1.069
-13.447,-3.614,0.380,1.083,1.083
-13.215,-3.556,0.210,1.083,1.083
-12.983,-3.498,0.255,1.083,1.083
-12.751,-3.440,0.242,1.100,1.100
-12.520,-3.382,0.246,1.100,1.100
-12.288,-3.324,0.245,1.100,1.100
-12.056,-3.266,0.245,1.100,1.100
-11.824,-3.208,0.245,1.100,1.100
-11.592,-3.150,0.246,1.100,1.100
-11.360,-3.092,0.242,1.083,1.083
-11.129,-3.034,0.254,1.083,1.083
-10.897,-2.976,0.210,1.083,1.083
-10.665,-2.918,0.380,1.069,1.069
-10.433,-2.802,0.379,1.083,1.083
-10.201,-2.744,0.209,1.083,1.083
-9.969,-2.686,0.255,1.083,1.083
-9.737,-2.628,0.242,1.100,1.100
-9.506,-2.570,0.246,1.100,1.100
-9.274,-2.512,0.245,1.100,1.100
-9.042,-2.454,0.245,1.100,1.100
-8.810,-2.396,0.245,1.100,1.100
-8.578,-2.338,0.246,1.100,1.100
-8.346,-2.280,0.242,1.083,1.083
-8.115,-2.223,0.254,1.083,1.083
-7.883,-2.165,0.209,1.083,1.083
-7.651,-2.107,0.380,1.083,1.083
-7.419,-1.991,0.380,1.083,1.083
-7.187,-1.933,0.209,1.083,1.083
-6.955,-1.875,0.254,1.083,1.083
-6.723,-1.817,0.243,1.100,1.100
-6.492,-1.759,0.246,1.100,1.100
-6.260,-1.701,0.245,1.100,1.100
-6.028,-1.643,0.245,1.100,1.100
-5.796,-1.585,0.245,1.100,1.100
-5.564,-1.527,0.246,1.100,1.100
-5.332,-1.469,0.242,1.083,1.083
-5.101,-1.411,0.255,1.083,1.083
-4.869,-1.353,0.209,1.083,1.083
-4.637,-1.295,0.379,1.083,1.083
-4.405,-1.179,0.380,1.083,1.083
-4.173,-1.121,0.209,1.083,1.083
-3.941,-1.063,0.255,1.083,1.083
-3.710,-1.005,0.242,1.083,1.083
-3.478,-0.947,0.246,1.100,1.100
-3.246,-0.889,0.245,1.100,1.100
-3.014,-0.832,0.245,1.100,1.100
-2.782,-0.773,0.245,1.100,1.100
-2.550,-0.716,0.246,1.100,1.100
