18.599,0.618,2.722,0.228,5.592
18.415,0.695,2.766,0.214,5.691
18.227,0.764,2.808,0.201,5.795
18.038,0.826,2.847,0.189,5.904
17.845,0.881,2.884,0.178,6.015
17.651,0.928,2.918,0.167,6.130
17.456,0.969,2.950,0.156,6.247
17.259,1.004,2.980,0.146,6.368
17.062,1.034,3.009,0.136,6.492
16.863,1.057,3.035,0.126,6.619
16.665,1.076,3.059,0.116,6.750
16.465,1.090,3.081,0.107,6.885
16.266,1.100,3.102,0.097,7.023
16.066,1.107,3.120,0.088,7.167
15.866,1.109,3.137,0.079,7.310
15.667,1.108,3.152,0.070,7.450
15.467,1.105,3.165,0.062,7.587
15.267,1.099,3.177,0.055,7.722
15.068,1.091,3.187,0.048,7.855
14.868,1.081,3.196,0.038,7.985
14.669,1.070,3.202,0.028,8.113
14.469,1.057,3.206,0.016,8.239
14.270,1.044,3.209,0.005,8.363
14.071,1.031,3.209,-0.002,8.485
13.872,1.017,3.208,-0.009,8.500
13.672,1.004,3.205,-0.012,8.500
13.473,0.992,3.203,-0.014,8.500
13.274,0.980,3.200,-0.014,8.500
13.074,0.968,3.197,-0.015,8.500
12.875,0.958,3.194,-0.015,8.500
12.675,0.947,3.191,-0.015,8.500
12.476,0.938,3.188,-0.016,8.500
12.276,0.929,3.185,-0.016,8.500
12.077,0.920,3.182,-0.016,8.500
11.877,0.913,3.178,-0.017,8.500
11.677,0.906,3.175,-0.017,8.500
11.478,0.899,3.172,-0.017,8.500
11.278,0.894,3.168,-0.017,8.500
11.078,0.889,3.165,-0.017,8.500
10.879,0.884,3.161,-0.018,8.500
10.679,0.881,3.158,-0.018,8.500
10.479,0.878,3.154,-0.018,8.500
10.280,0.876,3.151,-0.018,8.500
10.080,0.874,3.147,-0.018,8.500
9.880,0.874,3.144,-0.017,8.500
9.680,0.874,3.140,-0.017,8.500
9.481,0.874,3.137,-0.017,8.500
9.281,0.875,3.134,-0.013,8.500
9.081,0.877,3.132,-0.009,8.500
8.882,0.879,3.131,0.003,8.500
8.682,0.881,3.133,0.014,8.500
8.482,0.883,3.136,0.021,8.500
8.282,0.883,3.141,0.028,8.500
8.083,0.883,3.147,0.034,8.500
7.883,0.881,3.155,0.040,8.500
7.683,0.878,3.163,0.047,8.342
7.483,0.872,3.173,0.054,8.184
7.284,0.865,3.185,0.061,8.031
7.084,0.855,3.198,0.069,7.884
6.885,0.842,3.212,0.076,7.742
6.686,0.826,3.228,0.084,7.605
6.487,0.807,3.246,0.092,7.473
6.289,0.785,3.265,0.100,7.346
6.091,0.758,3.286,0.108,7.223
5.893,0.727,3.308,0.116,7.104
5.697,0.692,3.332,0.124,6.990
5.501,0.651,3.358,0.133,6.880
5.307,0.606,3.385,0.142,6.775
5.114,0.555,3.415,0.151,6.674
4.922,0.498,3.446,0.160,6.579
4.733,0.435,3.479,0.170,6.489
4.545,0.366,3.514,0.180,6.405
4.361,0.290,3.551,0.191,6.329
4.179,0.207,3.590,0.201,6.259
4.001,0.117,3.631,0.212,6.197
3.826,0.019,3.675,0.222,6.142
3.657,-0.086,3.720,0.232,6.094
3.492,-0.200,3.767,0.242,6.053
3.333,-0.320,3.816,0.253,6.023
3.181,-0.449,3.869,0.269,6.011
3.035,-0.586,3.924,0.277,6.008
2.897,-0.730,3.978,0.270,6.006
2.768,-0.882,4.032,0.262,6.011
2.646,-1.041,4.083,0.250,6.026
2.532,-1.205,4.132,0.240,6.054
2.427,-1.374,4.179,0.231,6.091
2.329,-1.549,4.224,0.222,6.135
2.239,-1.727,4.267,0.214,6.186
2.157,-1.909,4.309,0.206,6.241
2.082,-2.094,4.350,0.199,6.301
2.015,-2.282,4.389,0.192,6.365
1.955,-2.473,4.426,0.184,6.432
1.902,-2.666,4.462,0.177,6.502
1.856,-2.860,4.497,0.170,6.576
1.817,-3.056,4.531,0.164,6.652
1.784,-3.253,4.563,0.157,6.732
1.757,-3.451,4.593,0.150,6.814
1.736,-3.649,4.622,0.143,6.900
1.721,-3.849,4.650,0.137,6.988
1.712,-4.048,4.677,0.130,7.080
1.707,-4.248,4.702,0.124,7.174
1.708,-4.447,4.726,0.117,7.271
1.713,-4.647,4.749,0.109,7.252
1.722,-4.847,4.770,0.100,7.131
1.735,-5.046,4.789,0.096,6.989
1.753,-5.245,4.809,0.103,6.836
1.774,-5.443,4.830,0.112,6.686
1.800,-5.641,4.854,0.125,6.543
1.831,-5.839,4.880,0.137,6.405
1.867,-6.035,4.909,0.150,6.274
1.909,-6.231,4.940,0.163,6.147
1.957,-6.424,4.974,0.176,6.026
2.012,-6.616,5.010,0.189,5.910
