# x_m,y_m,theta_rad,kappa_1pm,v_mps,heading,ld_m
-3.1767114354150507,2.556277889421665,-2.458090823158229,0.0349628345658834,12.0,2.4463981378309856,1.6
-3.701227282321227,2.99378007158861,-2.456798540782452,-0.0310996285259497,12.0,2.4674194781573564,1.6
-4.223744196163409,3.411307288388155,-2.451029083186072,0.0479882799518752,12.0,2.4349807507600514,2.0
-4.743286287292399,3.8548167642345375,-2.438452501155508,-0.0101643107930312,12.0,2.4419241178968556,2.0
-5.265915399088222,4.294725142109385,-2.455422872024392,-0.0403636516939906,12.0,2.4692096026119033,2.0
-5.78918901060441,4.711324368776175,-2.4544452314178984,0.0432282110047664,12.0,2.4399884884911245,1.6
-6.3109377874817625,5.152219998249311,-2.4507552450313144,-0.0321964010245088,12.0,2.461751755144099,1.6
-6.831059070341055,5.572685141238264,-2.450439840307469,0.0331236026302274,12.0,2.439363019731034,2.0
-7.352473147933331,6.013857244854165,-2.441272319552226,-0.0055897839443043,12.0,2.4431812644574156,1.6
-7.875665178673401,6.4531169038559,-2.4550417073176147,-0.0354655837734402,12.0,2.467155675828725,2.0
-8.398070583876404,6.870780871329394,-2.456699510042764,0.0306171752048684,12.0,2.4464604763968842,2.0
-8.922613340272747,7.308250052547333,-2.4566927170096053,-0.0305968664290947,12.0,2.467141947077902,2.0
-9.445012942379924,7.725921136754312,-2.4545003289088947,0.0370143665126595,12.0,2.4421219424413927,1.6
-9.96768279729794,8.165687185203677,-2.4544757620960644,-0.03694092332397,12.0,2.467092296984288,2.0
-10.490061412493816,8.583384007095969,-2.450126685306542,0.0496760599221375,12.0,2.4335139762337152,2.0
-11.008914325135647,9.027622443044796,-2.4391321285843253,-0.0164472639319585,12.0,2.4447492733528375,1.6
-11.532819494317728,9.466082131067475,-2.456940761670571,-0.0364546135386759,12.0,2.469393147792103,2.0
-12.056170693326584,9.882586206883282,-2.454302976523043,0.0441817489357065,12.0,2.439527311955186,2.0
-12.577720357261876,10.323726022181066,-2.45741609830702,-0.0534854786514301,12.0,2.4756839428299386,0.6
-13.103731015724854,10.736968620901369,-2.458194923696431,0.0512065602267601,12.0,2.44106834414151,0.6
-13.625946007764774,11.177292498821036,-2.451308762996984,-0.0306224623480864,12.0,2.4617675103340275,0.6
-14.146073949791194,11.597749475217714,-2.452795159797714,0.0262698850897716,12.0,2.444010279910828,0.6
-14.66959237896114,12.036543755213524,-2.4394643998718744,0.013309265645737,12.0,2.4349186866510797,0.6
-15.189118952576678,12.480095728382183,-2.4522691917625856,-0.0518805990345656,12.0,2.469989420508839,0.6
-15.712722207990566,12.896290690182145,-2.4551258218280307,0.0435191737445922,12.0,2.4405716357489893,0.6
-16.23472275406197,13.33687755786595,-2.4567245072731825,-0.0482972912102479,12.0,2.473220033625876,0.6
-16.75969172401532,13.751397650480571,-2.4574939246129035,0.0460446746749761,12.0,2.4420944320179925,0.6
-17.282360789840233,14.191187593589913,-2.4496403561275977,-0.0225335566728319,12.0,2.4573364673729765,0.6
-17.801343034508996,14.614534477428696,-2.452309767446672,0.0147402317788123,12.0,2.4473736321989636,0.6
-18.32552583823777,15.050892478563608,-2.4456604426431467,0.0050161070194174,12.0,2.443949854691352,0.6
-18.8490065229241,15.489708978335193,-2.453517431008504,-0.0286102066852783,12.0,2.463288897803917,0.6
-19.369777506855517,15.909377348445217,-2.457338708288108,0.0174237765793467,12.0,2.451511999347117,0.6
-19.896500733264823,16.34417247009304,-2.455566290714228,-0.0121238368427943,12.0,2.459706559736007,0.6
-20.41575758996648,16.76569771802532,-2.446592748282601,0.0383919640530261,12.0,2.433754228099235,0.6
-20.934796559564305,17.209879385541758,-2.446479896534962,-0.0377035683387782,12.0,2.459358564446463,0.6
-21.458738183287544,17.635510228870974,-2.4583302483247134,0.0030388780015491,12.0,2.4573045691051916,0.6
-21.983149200839264,18.063313358769975,-2.450292858528357,0.02053024308807,12.0,2.44334569633949,0.6
-22.50635411356272,18.50243717919687,-2.4532091824012228,-0.029495076019103,12.0,2.463282662366258,0.6
-23.02712246195275,18.92210878145164,-2.4509657982694253,0.0360615225425476,12.0,2.438906420557482,0.6
-23.548404050828,19.36357735553792,-2.4538094210803645,-0.0445626949623465,12.0,2.4690298767816587,0.6
-24.07160168967463,19.78026975268762,-2.4585384358022915,0.0307210291281425,12.0,2.4482644676738485,0.6
