5.647,5.808,2.920,0.416,4.548
5.452,5.844,2.999,0.380,4.607
5.253,5.865,3.071,0.349,4.688
5.055,5.872,3.138,0.322,4.784
4.855,5.867,3.200,0.297,4.891
4.657,5.849,3.256,0.271,5.005
4.460,5.821,3.308,0.247,5.128
4.265,5.784,3.355,0.223,5.260
4.071,5.738,3.397,0.199,5.401
3.879,5.684,3.434,0.176,5.551
3.690,5.623,3.467,0.152,5.711
3.502,5.557,3.495,0.129,5.882
3.316,5.486,3.518,0.105,6.056
3.131,5.411,3.536,0.082,6.225
2.948,5.333,3.550,0.058,6.390
2.766,5.253,3.560,0.035,6.550
2.584,5.172,3.564,0.011,6.706
2.402,5.090,3.564,-0.012,6.859
2.221,5.009,3.559,-0.036,7.008
2.038,4.929,3.550,-0.059,6.914
1.855,4.851,3.536,-0.082,6.728
1.670,4.776,3.517,-0.105,6.561
1.485,4.705,3.494,-0.128,6.414
1.297,4.639,3.466,-0.151,6.284
1.107,4.579,3.434,-0.174,6.175
0.915,4.525,3.396,-0.198,6.085
0.722,4.479,3.355,-0.222,6.018
0.526,4.441,3.308,-0.245,5.974
0.329,4.413,3.257,-0.267,5.953
0.131,4.395,3.202,-0.280,5.948
-0.068,4.389,3.146,-0.283,5.945
-0.267,4.393,3.092,-0.259,5.942
-0.465,4.408,3.042,-0.238,5.968
-0.663,4.433,2.997,-0.221,6.016
-0.859,4.465,2.955,-0.202,6.080
-1.054,4.506,2.916,-0.183,6.160
-1.247,4.554,2.882,-0.163,6.255
-1.439,4.608,2.851,-0.143,6.366
-1.629,4.668,2.825,-0.123,6.493
-1.817,4.732,2.803,-0.102,6.637
-2.004,4.800,2.784,-0.081,6.791
-2.191,4.871,2.770,-0.060,6.942
-2.376,4.944,2.760,-0.039,7.089
-2.560,5.019,2.755,-0.018,7.233
-2.745,5.094,2.753,0.004,7.201
-2.929,5.169,2.756,0.026,6.951
-3.114,5.244,2.764,0.047,6.719
-3.299,5.316,2.775,0.069,6.503
-3.486,5.386,2.791,0.091,6.301
-3.673,5.453,2.811,0.113,6.113
-3.862,5.515,2.836,0.135,5.936
-4.053,5.572,2.865,0.157,5.772
-4.246,5.623,2.898,0.179,5.617
-4.440,5.668,2.936,0.202,5.473
-4.636,5.704,2.979,0.223,5.336
-4.833,5.732,3.025,0.245,5.207
-5.031,5.750,3.076,0.268,5.086
-5.230,5.758,3.132,0.292,4.974
-5.429,5.753,3.193,0.316,4.870
-5.627,5.737,3.258,0.345,4.780
-5.825,5.707,3.329,0.367,4.699
-6.018,5.662,3.405,0.393,4.629
-6.210,5.603,3.484,0.401,4.559
-6.393,5.529,3.566,0.424,4.494
-6.571,5.439,3.656,0.471,4.465
-6.738,5.333,3.750,0.483,4.442
-6.896,5.212,3.849,0.507,4.440
-7.040,5.075,3.951,0.505,4.438
