18.310,16.294,0.906,2.971
18.116,16.257,1.042,2.874
17.931,16.180,1.212,2.873
17.771,16.064,1.132,2.872
17.640,15.913,1.173,2.916
17.546,15.737,0.978,2.916
17.489,15.546,0.797,3.028
17.462,15.348,0.648,3.199
17.462,15.149,0.499,3.401
17.481,14.950,0.339,3.639
17.514,14.754,0.158,3.917
17.552,14.558,-0.052,4.176
17.589,14.363,-0.279,4.420
17.615,14.165,-0.390,4.619
17.626,13.966,-0.456,4.620
17.618,13.767,-0.469,4.618
17.592,13.569,-0.465,4.616
17.548,13.375,-0.441,4.618
17.487,13.185,-0.408,4.641
17.411,13.001,-0.381,4.690
17.321,12.823,-0.356,4.757
17.219,12.652,-0.329,4.836
17.105,12.488,-0.302,4.928
16.982,12.331,-0.275,5.032
16.851,12.181,-0.248,5.149
16.712,12.038,-0.222,5.278
16.567,11.901,-0.197,5.418
16.417,11.770,-0.171,5.569
16.262,11.644,-0.146,5.732
16.104,11.522,-0.120,5.908
15.943,11.405,-0.095,5.715
15.780,11.290,-0.069,5.468
15.615,11.178,-0.041,5.169
15.449,11.067,-0.046,4.811
15.283,10.958,-0.062,4.430
15.114,10.851,-0.146,4.072
14.943,10.749,-0.250,3.738
14.767,10.656,-0.417,3.459
14.584,10.578,-0.603,3.239
14.392,10.522,-0.776,3.067
14.195,10.496,-0.985,2.985
13.995,10.510,-1.023,2.907
13.804,10.563,-1.063,2.820
13.627,10.656,-1.178,2.733
13.478,10.787,-1.340,2.732
13.368,10.952,-1.260,2.730
13.303,11.140,-1.133,2.773
13.282,11.338,-1.094,2.863
13.304,11.536,-1.077,2.933
13.366,11.724,-0.861,2.981
13.461,11.900,-0.633,3.133
13.577,12.062,-0.472,3.364
13.708,12.212,-0.299,3.628
13.847,12.354,-0.123,3.907
13.990,12.494,0.045,4.167
14.132,12.634,0.185,4.064
14.269,12.779,0.317,3.785
14.395,12.933,0.437,3.536
14.509,13.097,0.563,3.312
14.603,13.273,0.712,3.120
14.671,13.460,0.888,2.981
14.706,13.658,0.962,2.840
14.702,13.856,1.100,2.693
14.654,14.051,1.274,2.574
14.560,14.224,1.510,2.573
14.421,14.363,1.262,2.572
14.249,14.465,0.922,2.696
14.061,14.532,0.891,2.929
13.864,14.565,0.877,3.084
13.667,14.564,0.701,3.188
13.468,14.535,0.565,3.362
13.276,14.484,0.505,3.568
13.089,14.413,0.447,3.761
12.910,14.326,0.388,3.950
12.737,14.226,0.339,4.142
12.572,14.114,0.283,4.337
12.413,13.993,0.226,4.545
12.261,13.865,0.198,4.770
12.113,13.731,0.173,4.984
11.970,13.592,0.163,5.190
11.832,13.449,0.154,5.387
11.698,13.301,0.146,5.578
11.568,13.149,0.138,5.762
11.443,12.994,0.129,5.940
11.322,12.836,0.121,6.113
11.204,12.675,0.113,6.281
11.090,12.511,0.105,6.444
10.980,12.345,0.097,6.603
10.873,12.177,0.089,6.758
10.769,12.007,0.081,6.910
10.668,11.835,0.073,7.058
10.569,11.662,0.064,7.203
10.472,11.487,0.056,7.346
10.377,11.312,0.048,7.485
10.285,11.135,0.039,7.621
10.193,10.958,0.030,7.756
10.102,10.780,0.021,7.887
10.013,10.602,0.012,8.017
9.923,10.424,0.003,8.144
9.834,10.246,-0.006,8.269
9.745,10.068,-0.015,8.392
9.655,9.890,-0.024,8.500
9.564,9.712,-0.034,8.434
9.472,9.535,-0.043,8.262
9.378,9.359,-0.053,8.100
9.283,9.184,-0.063,7.946
9.185,9.010,-0.072,7.800
9.085,8.838,-0.082,7.663
8.983,8.667,-0.092,7.534
8.877,8.498,-0.102,7.414
8.767,8.331,-0.112,7.302
8.654,8.167,-0.123,7.198
8.537,8.005,-0.133,7.104
8.416,7.847,-0.144,7.018
8.290,7.692,-0.154,6.942
8.159,7.542,-0.165,6.876
8.024,7.395,-0.176,6.820
7.884,7.254,-0.185,6.773
7.738,7.117,-0.195,6.736
7.587,6.987,-0.201,6.705
7.431,6.863,-0.208,6.680
7.270,6.745,-0.212,6.659
7.105,6.634,-0.215,6.641
6.935,6.530,-0.222,6.630
6.760,6.434,-0.228,6.627
6.581,6.346,-0.219,6.624
6.398,6.266,-0.209,6.633
6.213,6.194,-0.190,6.654
6.024,6.128,-0.171,6.698
5.834,6.069,-0.147,6.764
5.642,6.015,-0.122,6.858
5.449,5.967,-0.087,6.977
5.254,5.921,-0.052,6.857
5.060,5.878,-0.019,6.631
4.865,5.835,0.014,6.346
4.670,5.792,0.047,6.078
4.476,5.746,0.080,5.832
4.283,5.698,0.114,5.606
4.090,5.646,0.148,5.397
3.900,5.587,0.181,5.203
3.711,5.522,0.214,5.021
3.525,5.449,0.247,4.850
3.344,5.367,0.281,4.688
3.167,5.275,0.316,4.534
2.996,5.172,0.353,4.389
2.833,5.057,0.390,4.251
2.680,4.930,0.432,4.123
2.537,4.790,0.475,4.003
2.410,4.637,0.527,3.902
2.297,4.471,0.568,3.810
2.206,4.295,0.625,3.743
2.136,4.108,0.676,3.702
2.093,3.914,0.730,3.701
2.077,3.716,0.677,3.699
2.088,3.517,0.626,3.737
2.124,3.321,0.594,3.802
2.183,3.131,0.558,3.874
2.263,2.948,0.526,3.955
2.361,2.774,0.500,4.042
2.476,2.612,0.465,4.130
2.606,2.460,0.438,4.227
2.749,2.321,0.413,4.327
2.902,2.194,0.391,4.428
3.065,2.079,0.372,4.530
3.236,1.976,0.355,4.631
3.413,1.886,0.340,4.731
3.597,1.808,0.325,4.828
3.785,1.742,0.309,4.926
3.977,1.688,0.295,5.024
4.172,1.645,0.281,5.123
4.369,1.613,0.268,5.222
4.567,1.592,0.256,5.321
4.766,1.580,0.244,5.421
4.965,1.579,0.232,5.522
5.165,1.587,0.221,5.624
5.363,1.603,0.210,5.727
5.561,1.628,0.200,5.831
5.758,1.661,0.189,5.937
5.953,1.701,0.179,6.045
6.147,1.748,0.169,6.156
6.339,1.802,0.159,6.269
6.529,1.861,0.149,6.384
6.718,1.926,0.139,6.503
6.904,1.997,0.130,6.625
7.089,2.072,0.120,6.750
